run,name,RA,EIS,preference,growth,tech_change,tech_scale,dam_func,baseline_num,tip_on,bs_premium,crra_on,d_unc,t_unc,d_var_mult,t_var_mult,no_free_lunch
0,all-ssp5-only,7,0.9,0.005,0.015,1.5,0,0,5,1,10000,0,1,1,1,1,0
1,all-ssp4,7,0.9,0.005,0.015,1.5,0,0,4,1,10000,0,1,1,1,1,0
2,all-ssp3,7,0.9,0.005,0.015,1.5,0,0,3,1,10000,0,1,1,1,1,0
3,base-case,7,0.9,0.005,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
4,all-ssp1-only,7,0.9,0.005,0.015,1.5,0,0,1,1,10000,0,1,1,1,1,0
5,all-ssp5-notp,7,0.9,0.005,0.015,1.5,0,0,5,0,10000,0,1,1,1,1,0
6,all-ssp4-notp,7,0.9,0.005,0.015,1.5,0,0,4,0,10000,0,1,1,1,1,0
7,all-ssp3-notp,7,0.9,0.005,0.015,1.5,0,0,3,0,10000,0,1,1,1,1,0
8,all-ssp2-notp,7,0.9,0.005,0.015,1.5,0,0,2,0,10000,0,1,1,1,1,0
9,all-ssp1-notp,7,0.9,0.005,0.015,1.5,0,0,1,0,10000,0,1,1,1,1,0
10,all-ssp5-no-tech,7,0.9,0.005,0.015,0,0,0,5,1,10000,0,1,1,1,1,0
11,all-ssp4-no-tech,7,0.9,0.005,0.015,0,0,0,4,1,10000,0,1,1,1,1,0
12,all-ssp3-no-tech,7,0.9,0.005,0.015,0,0,0,3,1,10000,0,1,1,1,1,0
13,all-ssp2-no-tech,7,0.9,0.005,0.015,0,0,0,2,1,10000,0,1,1,1,1,0
14,all-ssp1-no-tech,7,0.9,0.005,0.015,0,0,0,1,1,10000,0,1,1,1,1,0
15,all-ssp5-crra,7,0.9,0.005,0.015,1.5,0,0,5,1,10000,1,1,1,1,1,0
16,burke-ssp5,7,0.9,0.005,0.015,1.5,0,1,5,1,10000,0,1,1,1,1,0
17,burke-ssp4,7,0.9,0.005,0.015,1.5,0,1,4,1,10000,0,1,1,1,1,0
18,burke-ssp3,7,0.9,0.005,0.015,1.5,0,1,3,1,10000,0,1,1,1,1,0
19,burke-ssp2,7,0.9,0.005,0.015,1.5,0,1,2,1,10000,0,1,1,1,1,0
20,burke-ssp1,7,0.9,0.005,0.015,1.5,0,1,1,1,10000,0,1,1,1,1,0
21,burke-ssp5-notp,7,0.9,0.005,0.015,1.5,0,1,5,0,10000,0,1,1,1,1,0
22,burke-ssp4-notp,7,0.9,0.005,0.015,1.5,0,1,4,0,10000,0,1,1,1,1,0
23,burke-ssp3-notp,7,0.9,0.005,0.015,1.5,0,1,3,0,10000,0,1,1,1,1,0
24,burke-ssp2-notp,7,0.9,0.005,0.015,1.5,0,1,2,0,10000,0,1,1,1,1,0
25,burke-ssp1-notp,7,0.9,0.005,0.015,1.5,0,1,1,0,10000,0,1,1,1,1,0
26,burke-ssp5-no-tech,7,0.9,0.005,0.015,0,0,1,5,1,10000,0,1,1,1,1,0
27,burke-ssp5-crra,7,0.9,0.005,0.015,1.5,0,1,5,1,10000,1,1,1,1,1,0
28,rose-ssp5,7,0.9,0.005,0.015,1.5,0,2,5,1,10000,0,1,1,1,1,0
29,rose-ssp4,7,0.9,0.005,0.015,1.5,0,2,4,1,10000,0,1,1,1,1,0
30,rose-ssp3,7,0.9,0.005,0.015,1.5,0,2,3,1,10000,0,1,1,1,1,0
31,rose-ssp2,7,0.9,0.005,0.015,1.5,0,2,2,1,10000,0,1,1,1,1,0
32,rose-ssp1,7,0.9,0.005,0.015,1.5,0,2,1,1,10000,0,1,1,1,1,0
33,rose-ssp5-notp,7,0.9,0.005,0.015,1.5,0,2,5,0,10000,0,1,1,1,1,0
34,rose-ssp4-notp,7,0.9,0.005,0.015,1.5,0,2,4,0,10000,0,1,1,1,1,0
35,rose-ssp3-notp,7,0.9,0.005,0.015,1.5,0,2,3,0,10000,0,1,1,1,1,0
36,rose-ssp2-notp,7,0.9,0.005,0.015,1.5,0,2,2,0,10000,0,1,1,1,1,0
37,rose-ssp1-notp,7,0.9,0.005,0.015,1.5,0,2,1,0,10000,0,1,1,1,1,0
38,rose-ssp5-no-tech,7,0.9,0.005,0.015,0,0,2,5,1,10000,0,1,1,1,1,0
39,rose-ssp5-crra,7,0.9,0.005,0.015,1.5,0,2,5,1,10000,1,1,1,1,1,0
40,hs-ssp5,7,0.9,0.005,0.015,1.5,0,3,5,1,10000,0,1,1,1,1,0
41,hs-ssp4,7,0.9,0.005,0.015,1.5,0,3,4,1,10000,0,1,1,1,1,0
42,hs-ssp3,7,0.9,0.005,0.015,1.5,0,3,3,1,10000,0,1,1,1,1,0
43,hs-ssp2,7,0.9,0.005,0.015,1.5,0,3,2,1,10000,0,1,1,1,1,0
44,hs-ssp1,7,0.9,0.005,0.015,1.5,0,3,1,1,10000,0,1,1,1,1,0
45,hs-ssp5-notp,7,0.9,0.005,0.015,1.5,0,3,5,0,10000,0,1,1,1,1,0
46,hs-ssp4-notp,7,0.9,0.005,0.015,1.5,0,3,4,0,10000,0,1,1,1,1,0
47,hs-ssp3-notp,7,0.9,0.005,0.015,1.5,0,3,3,0,10000,0,1,1,1,1,0
48,hs-ssp2-notp,7,0.9,0.005,0.015,1.5,0,3,2,0,10000,0,1,1,1,1,0
49,hs-ssp1-notp,7,0.9,0.005,0.015,1.5,0,3,1,0,10000,0,1,1,1,1,0
50,hs-ssp5-no-tech,7,0.9,0.005,0.015,0,0,3,5,1,10000,0,1,1,1,1,0
51,hs-ssp5-crra,7,0.9,0.005,0.015,1.5,0,3,5,1,10000,1,1,1,1,1,0
52,all-ra1.2-only,1.2,0.9,0.005,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
53,all-ra15-only,15,0.9,0.005,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
54,all-eis0.6-only,7,0.6,0.005,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
55,all-eis1.2-only,7,1.2,0.005,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
56,all-pref25-only,7,0.9,0.0025,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
57,all-pref75-only,7,0.9,0.0075,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
58,all-extech0-only,7,0.9,0.005,0.015,0,0,0,2,1,10000,0,1,1,1,1,0
59,all-extech3-only,7,0.9,0.005,0.015,3,0,0,2,1,10000,0,1,1,1,1,0
60,all-endtech1.5-only,7,0.9,0.005,0.015,1.5,1.5,0,2,1,10000,0,1,1,1,1,0
61,all-endtech3-only,7,0.9,0.005,0.015,1.5,3,0,2,1,10000,0,1,1,1,1,0
62,all-tbs0-only,7,0.9,0.005,0.015,1.5,0,0,2,1,0,0,1,1,1,1,0
63,all-tbs102-only,7,0.9,0.005,0.015,1.5,0,0,2,1,100,0,1,1,1,1,0
64,all-tbs103-only,7,0.9,0.005,0.015,1.5,0,0,2,1,1000,0,1,1,1,1,0
65,all-ra1.2-eis0.6,1.2,0.6,0.005,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
66,all-ra1.2-eis0.9,1.2,0.9,0.005,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
67,all-ra1.2-eis1.2,1.2,1.2,0.005,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
68,all-ra7-eis0.6,7,0.6,0.005,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
69,all-ra7-eis1.2,7,1.2,0.005,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
70,all-ra15-eis0.6,15,0.6,0.005,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
71,all-ra15-eis0.9,15,0.9,0.005,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
72,all-ra15-eis1.2,15,1.2,0.005,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
73,all-ra1.2-pref25,1.2,0.9,0.0025,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
74,all-ra1.2-pref5,1.2,0.9,0.005,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
75,all-ra1.2-pref75,1.2,0.9,0.0075,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
76,all-ra7-pref25,7,0.9,0.0025,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
77,all-ra7-pref75,7,0.9,0.0075,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
78,all-ra15-pref25,15,0.9,0.0025,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
79,all-ra15-pref5,15,0.9,0.005,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
80,all-ra15-pref75,15,0.9,0.0075,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
81,all-ra1.2-crra,1.2,0.9,0.005,0.015,1.5,0,0,2,1,10000,1,1,1,1,1,0
82,all-ra15-crra,15,0.9,0.005,0.015,1.5,0,0,2,1,10000,1,1,1,1,1,0
83,all-ra1.2-ssp1,1.2,0.9,0.005,0.015,1.5,0,0,1,1,10000,0,1,1,1,1,0
84,all-ra1.2-ssp5,1.2,0.9,0.005,0.015,1.5,0,0,5,1,10000,0,1,1,1,1,0
85,all-ra7-ssp1,7,0.9,0.005,0.015,1.5,0,0,1,1,10000,0,1,1,1,1,0
